player_name,team,position,overall,pace,shooting,passing,dribbling,defending,physical,gk,minutes_projection,is_key_player,data_source
Alireza Beiranvand,Iran,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Mehdi Taremi,Iran,FW,81,73,82,75,80,45,74,0,88,true,curated_eafc_style
Sardar Azmoun,Iran,FW,78,73,78,70,77,38,75,0,80,true,curated_eafc_style
Kim Seung-gyu,South Korea,GK,77,0,0,0,0,0,0,77,90,true,curated_eafc_style
Son Heung-min,South Korea,FW,87,87,88,80,85,42,70,0,90,true,curated_eafc_style
Kim Min-jae,South Korea,DF,84,80,38,65,68,86,84,0,90,true,curated_eafc_style
Hernan Galindez,Ecuador,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Moises Caicedo,Ecuador,MF,84,78,68,80,82,84,82,0,90,true,curated_eafc_style
Piero Hincapie,Ecuador,DF,81,79,45,70,73,82,79,0,90,true,curated_eafc_style
Patrick Pentz,Austria,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
David Alaba,Austria,DF,84,73,73,82,80,84,75,0,80,true,curated_eafc_style
Marcel Sabitzer,Austria,MF,82,75,81,82,82,74,76,0,88,true,curated_eafc_style
Ugurcan Cakir,Turkey,GK,80,0,0,0,0,0,0,80,90,true,curated_eafc_style
Hakan Calhanoglu,Turkey,MF,86,70,84,88,82,75,78,0,90,true,curated_eafc_style
Arda Guler,Turkey,MF,80,74,78,82,85,44,58,0,75,true,curated_eafc_style
Mat Ryan,Australia,GK,77,0,0,0,0,0,0,77,90,true,curated_eafc_style
Harry Souttar,Australia,DF,76,45,40,55,50,78,84,0,90,true,curated_eafc_style
Jackson Irvine,Australia,MF,75,68,72,74,73,76,80,0,90,true,curated_eafc_style
Milan Borjan,Canada,GK,74,0,0,0,0,0,0,74,90,true,curated_eafc_style
Alphonso Davies,Canada,DF,84,94,72,79,85,76,76,0,90,true,curated_eafc_style
Jonathan David,Canada,FW,82,82,83,75,81,42,74,0,90,true,curated_eafc_style
Orlando Mosquera,Panama,GK,72,0,0,0,0,0,0,72,90,true,curated_eafc_style
Adalberto Carrasquilla,Panama,MF,75,72,70,76,78,70,72,0,90,true,curated_eafc_style
Michael Murillo,Panama,DF,74,78,58,68,72,74,76,0,90,true,curated_eafc_style
Mohamed El Shenawy,Egypt,GK,77,0,0,0,0,0,0,77,90,true,curated_eafc_style
Mohamed Salah,Egypt,FW,91,89,89,82,88,45,75,0,90,true,curated_eafc_style
Omar Marmoush,Egypt,FW,82,87,82,76,83,40,72,0,85,true,curated_eafc_style
Angus Gunn,Scotland,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Andrew Robertson,Scotland,DF,84,80,62,82,80,81,76,0,90,true,curated_eafc_style
Scott McTominay,Scotland,MF,80,70,80,75,77,78,84,0,90,true,curated_eafc_style
Gatito Fernandez,Paraguay,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Miguel Almiron,Paraguay,FW,80,86,76,77,82,55,65,0,82,true,curated_eafc_style
Julio Enciso,Paraguay,FW,77,80,78,74,82,38,65,0,75,true,curated_eafc_style
Bechir Ben Said,Tunisia,GK,74,0,0,0,0,0,0,74,90,true,curated_eafc_style
Ellyes Skhiri,Tunisia,MF,80,68,70,78,76,81,82,0,90,true,curated_eafc_style
Hannibal Mejbri,Tunisia,MF,74,76,68,74,78,64,70,0,78,true,curated_eafc_style
Yahia Fofana,Ivory Coast,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Franck Kessie,Ivory Coast,MF,82,72,78,80,80,82,86,0,90,true,curated_eafc_style
Sebastien Haller,Ivory Coast,FW,81,66,82,72,76,44,82,0,80,true,curated_eafc_style
Robin Olsen,Sweden,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Alexander Isak,Sweden,FW,86,85,86,78,86,42,74,0,90,true,curated_eafc_style
Dejan Kulusevski,Sweden,FW,82,78,80,82,84,62,78,0,88,true,curated_eafc_style
Jindrich Stanek,Czechia,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Tomas Soucek,Czechia,MF,81,55,77,74,72,82,88,0,90,true,curated_eafc_style
Patrik Schick,Czechia,FW,82,70,84,72,78,40,78,0,85,true,curated_eafc_style
Utkir Yusupov,Uzbekistan,GK,72,0,0,0,0,0,0,72,90,true,curated_eafc_style
Eldor Shomurodov,Uzbekistan,FW,75,76,76,68,75,38,76,0,90,true,curated_eafc_style
Abdukodir Khusanov,Uzbekistan,DF,75,80,40,62,68,77,78,0,90,true,curated_eafc_style
Meshaal Barsham,Qatar,GK,73,0,0,0,0,0,0,73,90,true,curated_eafc_style
Akram Afif,Qatar,FW,77,82,76,78,82,35,62,0,90,true,curated_eafc_style
Almoez Ali,Qatar,FW,75,76,75,70,76,38,72,0,88,true,curated_eafc_style
Dimitry Bertaud,DR Congo,GK,73,0,0,0,0,0,0,73,90,true,curated_eafc_style
Chancel Mbemba,DR Congo,DF,78,70,52,64,66,80,80,0,90,true,curated_eafc_style
Yoane Wissa,DR Congo,FW,80,82,80,74,80,45,75,0,86,true,curated_eafc_style
Jalal Hassan,Iraq,GK,70,0,0,0,0,0,0,70,90,true,curated_eafc_style
Aymen Hussein,Iraq,FW,74,69,76,62,68,34,79,0,90,true,curated_eafc_style
Ali Jasim,Iraq,FW,72,78,70,68,74,35,62,0,78,true,curated_eafc_style
Mohammed Al Owais,Saudi Arabia,GK,73,0,0,0,0,0,0,73,90,true,curated_eafc_style
Salem Al Dawsari,Saudi Arabia,FW,77,82,77,76,81,42,68,0,90,true,curated_eafc_style
Firas Al Buraikan,Saudi Arabia,FW,74,75,75,68,74,40,72,0,82,true,curated_eafc_style
Ronwen Williams,South Africa,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Teboho Mokoena,South Africa,MF,75,72,74,75,76,72,75,0,90,true,curated_eafc_style
Percy Tau,South Africa,FW,75,79,74,72,78,38,64,0,80,true,curated_eafc_style
Yazeed Abulaila,Jordan,GK,70,0,0,0,0,0,0,70,90,true,curated_eafc_style
Musa Al-Taamari,Jordan,FW,75,84,74,70,79,38,64,0,90,true,curated_eafc_style
Yazan Al-Naimat,Jordan,FW,73,78,73,68,75,35,68,0,82,true,curated_eafc_style
Vozinha,Cape Verde,GK,71,0,0,0,0,0,0,71,90,true,curated_eafc_style
Logan Costa,Cape Verde,DF,76,70,45,62,66,78,80,0,90,true,curated_eafc_style
Ryan Mendes,Cape Verde,FW,74,78,73,72,76,42,68,0,78,true,curated_eafc_style
Ibrahim Sehic,Bosnia and Herzegovina,GK,75,0,0,0,0,0,0,75,90,true,curated_eafc_style
Edin Dzeko,Bosnia and Herzegovina,FW,80,52,83,76,78,38,78,0,75,true,curated_eafc_style
Sead Kolasinac,Bosnia and Herzegovina,DF,78,72,58,70,72,79,83,0,88,true,curated_eafc_style
Richard Ofori,Ghana,GK,74,0,0,0,0,0,0,74,90,true,curated_eafc_style
Mohammed Kudus,Ghana,FW,82,84,80,78,87,52,72,0,90,true,curated_eafc_style
Thomas Partey,Ghana,MF,82,68,76,80,80,82,82,0,85,true,curated_eafc_style
Eloy Room,Curacao,GK,72,0,0,0,0,0,0,72,90,true,curated_eafc_style
Leandro Bacuna,Curacao,MF,73,70,72,74,74,70,75,0,90,true,curated_eafc_style
Juninho Bacuna,Curacao,MF,73,72,70,73,75,68,74,0,86,true,curated_eafc_style
Johny Placide,Haiti,GK,72,0,0,0,0,0,0,72,90,true,curated_eafc_style
Duckens Nazon,Haiti,FW,73,76,74,68,74,35,76,0,88,true,curated_eafc_style
Frantzdy Pierrot,Haiti,FW,72,74,72,65,72,38,78,0,82,true,curated_eafc_style
Max Crocombe,New Zealand,GK,72,0,0,0,0,0,0,72,90,true,curated_eafc_style
Chris Wood,New Zealand,FW,78,58,80,68,72,42,82,0,90,true,curated_eafc_style
Liberato Cacace,New Zealand,DF,73,76,55,68,72,73,72,0,90,true,curated_eafc_style
Alexandre Oukidja,Algeria,GK,76,0,0,0,0,0,0,76,90,true,curated_eafc_style
Riyad Mahrez,Algeria,FW,85,80,82,84,88,40,62,0,85,true,curated_eafc_style
Ismael Bennacer,Algeria,MF,82,76,72,82,84,78,76,0,85,true,curated_eafc_style
